Project,Dataset,Age,LoC,Total Commits,Source buildable commits,Source buildability,Test buildable commits,Test buildability_A,Test buildability_S,Fully Testable commits,FullyTestability_A,FullyTestability_T,TestabilityRate_A,TestabilityRate_A_std,TestabilityRate_T,TestabilityRate_T_std
CoreNLP,ManySStub4J,2878,259175.0,16467,2787,0.16924758608125343,2777,0.16864031092488008,0.9964119124506639,2587,0.15710208295378636,0.9315808426359381,0.1686029606451967,0.3743631859427519,0.9997785210458964,0.0019237201115952789
DiskLruCache,ManySStub4J,1624,1436.0,136,136,1.0,133,0.9779411764705882,0.9779411764705882,96,0.7058823529411765,0.7218045112781954,0.972880577604239,0.14693077559189383,0.9948252522870413,0.009099463846963038
FizzBuzzEnterpriseEdition,ManySStub4J,2580,1168.0,184,141,0.7663043478260869,137,0.7445652173913043,0.9716312056737588,84,0.45652173913043476,0.6131386861313869,0.45652173913043476,0.49946514514910534,0.6131386861313869,0.48881873192785397
HanLP,ManySStub4J,2428,90.0,1493,1082,0.724715338245144,604,0.4045545880776959,0.5582255083179297,37,0.02478231748158071,0.061258278145695365,0.33752895371885067,0.4119941137465855,0.8343223971891458,0.06936492128224665
HikariCP,ManySStub4J,2783,9551.0,2788,2677,0.9601865136298422,2655,0.9522955523672884,0.9917818453492716,472,0.16929698708751795,0.17777777777777778,0.887613280759226,0.26405223195143623,0.9320775242021552,0.17820747440413348
alluxio,ManySStub4J,2786,179252.0,31180,5701,0.18284156510583707,5643,0.18098139833226426,0.989826346255043,1288,0.041308531109685694,0.22824738614212298,0.17826570942807995,0.3797348789867795,0.984994651775214,0.04593734110986423
android-volley,ManySStub4J,1651,4348.0,1932,145,0.07505175983436853,126,0.06521739130434782,0.8689655172413793,123,0.06366459627329192,0.9761904761904762,0.06520186335403727,0.24691448721056172,0.9997619047619047,0.0015306394555404442
ansj_seg,ManySStub4J,3165,1262.0,703,304,0.43243243243243246,267,0.37980085348506404,0.8782894736842105,209,0.2972972972972973,0.7827715355805244,0.3731088914583513,0.47879792103057384,0.9823803396824755,0.06496150658302535
antlr4,ManySStub4J,2488,125815.0,5403,1464,0.27096057745696833,1426,0.2639274477142328,0.9740437158469946,51,0.009439200444197668,0.03576437587657784,0.20221755281685838,0.3823395065204129,0.7661861415634542,0.34893486641028254
apache-druid,ManySStub4J,3166,549446.0,11065,2365,0.21373700858563036,2360,0.2132851333032083,0.9978858350951374,45,0.004066877541798464,0.019067796610169493,0.2132528194665982,0.4095838250297533,0.9998484946601308,0.00011842227174594743
async-http-client,ManySStub4J,4130,27054.0,4101,1873,0.4567178736893441,1664,0.40575469397707875,0.8884143085958356,0,0.0,0.0,0.39885885395559684,0.483232241542306,0.9830049038893646,0.03384967908633821
atmosphere,ManySStub4J,4055,33600.0,6005,1890,0.3147377185678601,1851,0.30824313072439635,0.9793650793650793,908,0.15120732722731056,0.49054565099945974,0.3070587641890557,0.46004963109563807,0.99615768717195,0.007330410201444229
auto,ManySStub4J,2953,26651.0,1297,1055,0.8134155744024673,152,0.11719352351580571,0.14407582938388624,151,0.1164225134926754,0.993421052631579,0.11714533538936006,0.32164716028731605,0.9995888157894737,0.005069419410336328
webmagic,ManySStub4J,2982,7233.0,1122,989,0.8814616755793226,955,0.8511586452762924,0.9656218402426694,406,0.36185383244206776,0.42513089005235605,0.8309675457692546,0.3507680447770059,0.9762781008933022,0.0506373558661638
aws-sdk-java,ManySStub4J,4090,5097646.0,2874,2674,0.930410577592206,2458,0.8552540013917884,0.9192221391174271,341,0.1186499652052888,0.1387306753458096,0.8535253810003522,0.351211343427591,0.9979788222111522,0.0037168076571782176
checkstyle,ManySStub4J,7307,213660.0,10340,8036,0.7771760154738878,7688,0.7435203094777563,0.9566948730711797,81,0.007833655705996131,0.010535900104058273,0.7422952654774555,0.4359927233371066,0.9983523731837786,0.001318372063138967
closure-compiler,ManySStub4J,4250,290451.0,17016,10241,0.6018453220498354,10183,0.5984367653972732,0.9943364905770921,9498,0.5581805359661495,0.9327310222920554,0.5984056217934909,0.4902036289519639,0.9999479584049926,0.000689217619887787
crawler4j,ManySStub4J,3199,4256.0,515,282,0.5475728155339806,262,0.5087378640776699,0.9290780141843972,232,0.45048543689320386,0.8854961832061069,0.4993246136541109,0.49491080572446017,0.9814968550834622,0.08545182112392921
cucumber-jvm,ManySStub4J,4530,36390.0,5143,1820,0.35387905891503013,1487,0.2891308574761812,0.817032967032967,934,0.18160606649815283,0.6281102891728312,0.27683938527212615,0.44122799771253135,0.9574882033991557,0.14664953809068995
dagger,ManySStub4J,3095,7190.0,703,376,0.534850640113798,376,0.534850640113798,1.0,373,0.5305832147937412,0.9920212765957447,0.5346783879291619,0.49898547735275034,0.999677943388832,0.0036526194123220218
dex2jar,ManySStub4J,3454,26703.0,558,313,0.5609318996415771,312,0.5591397849462365,0.9968051118210862,229,0.4103942652329749,0.7339743589743589,0.5062718921618159,0.4779811657204875,0.9054478071355553,0.21583961943340968
disconf,ManySStub4J,1518,3012.0,1158,772,0.6666666666666666,686,0.5924006908462867,0.8886010362694301,137,0.11830742659758203,0.19970845481049562,0.5571216460943876,0.46305260396540737,0.9404473267890684,0.033742985598980514
dropwizard,ManySStub4J,1170,14898.0,2069,599,0.28951184146930886,599,0.28951184146930886,1.0,578,0.27936201063315613,0.9649415692821369,0.2893373800987687,0.45337991050042337,0.9993973946984182,0.004952746248969583
druid,ManySStub4J,3685,258660.0,6440,3472,0.5391304347826087,3392,0.5267080745341615,0.9769585253456221,1143,0.17748447204968945,0.33696933962264153,0.5262274668572172,0.498872991361684,0.9990875255190091,0.0026384631811020133
dubbo,ManySStub4J,3535,132114.0,4686,2571,0.5486555697823303,2379,0.5076824583866837,0.9253208868144691,356,0.07597097737942808,0.1496427070197562,0.5063653424221803,0.4987240290187307,0.9974056303448242,0.007266463740868552
elastic-job,ManySStub4J,2349,25310.0,2160,2032,0.9407407407407408,2027,0.9384259259259259,0.9975393700787402,1158,0.5361111111111111,0.571287617168229,0.9352621614943413,0.23971354228041064,0.996628647670339,0.006709671309335252
fastjson,ManySStub4J,3536,114992.0,3863,3641,0.9425317111053585,3413,0.8835102252135646,0.9373798407031035,0,0.0,0.0,0.8780899072580175,0.3190200697243344,0.9938650195539764,0.009896225790532641
flink,ManySStub4J,3236,702739.0,18706,98,0.005238960761253074,95,0.005078584411418796,0.9693877551020408,3,0.00016037634983427778,0.031578947368421054,0.0049512699687163046,0.06931162446337667,0.9749311161558653,0.01553267361339773
graylog2-server,ManySStub4J,4056,191685.0,19180,307,0.01600625651720542,217,0.011313868613138687,0.7068403908794788,195,0.010166840458811261,0.8986175115207373,0.011206696790638397,0.10480744021612695,0.9905273937532002,0.028389743015505956
camel,ManySStub4J,5211,,53286,21,0.0003940997635401419,20,0.0003753331081334684,0.9523809523809523,20,0.0003753331081334684,1.0,0.0003753331081334684,0.01937006129125304,1.0,0.0
zxing,ManySStub4J,4977,36515.0,3584,913,0.25474330357142855,910,0.25390625,0.9967141292442497,889,0.248046875,0.9769230769230769,0.253895942964444,0.4352877059759162,0.9999594061368873,0.0003632368592853205
